type,start,end,duration
DELETE,245407,765838,520431
DELETE,463945,878817,414872
RETRIEVE,209322,290888,81566
DELETE,923652,1472386,548734
RETRIEVE,940064,1012582,72518
DELETE,3254258,3674772,420514
ADD,865406,1169040,303634
RETRIEVE,2608160,2696710,88550
RETRIEVE,3352262,3484554,132292
RETRIEVE,2653848,2766074,112226
DELETE,2947078,3422623,475545
DELETE,2892509,3194364,301855
RETRIEVE,685108,746276,61168
ADD,2232165,2274040,41875
RETRIEVE,3467272,3571378,104106
RETRIEVE,521008,651034,130026
ADD,3998362,4380623,382261
ADD,3317878,3697702,379824
DELETE,1481414,2019892,538478
DELETE,885254,1323991,438737
RETRIEVE,3338846,3446262,107416
DELETE,581104,1218295,637191
DELETE,1440478,1879206,438728
RETRIEVE,4040313,4149797,109484
DELETE,1239967,1457728,217761
RETRIEVE,2812565,2901453,88888
ADD,1091070,1605155,514085
DELETE,1940663,2465930,525267
ADD,3771973,4196813,424840
ADD,3850275,4380869,530594
RETRIEVE,3807396,3918594,111198
RETRIEVE,1752926,1869698,116772
ADD,1724203,2348100,623897
RETRIEVE,3348739,3453493,104754
ADD,1457312,1681808,224496
RETRIEVE,1676621,1789667,113046
RETRIEVE,4192272,4288932,96660
RETRIEVE,1004403,1101507,97104
RETRIEVE,1572706,1691332,118626
RETRIEVE,92225,202977,110752
DELETE,899897,1276201,376304
DELETE,1372638,1958106,585468
RETRIEVE,3419838,3494712,74874
DELETE,3612426,4054146,441720
ADD,2238339,2508333,269994
ADD,3511933,3803236,291303
DELETE,1292197,1684482,392285
DELETE,327392,727228,399836
RETRIEVE,2337421,2430009,92588
RETRIEVE,1511480,1581706,70226
ADD,3026080,3469171,443091
ADD,765420,1136981,371561
DELETE,1534467,1894827,360360
ADD,4338906,4818963,480057
RETRIEVE,1211193,1299469,88276
ADD,1640580,1993223,352643
ADD,1958454,2202878,244424
RETRIEVE,2957741,3043585,85844
ADD,3337421,3622035,284614
RETRIEVE,2089776,2177314,87538
RETRIEVE,2645909,2720013,74104
RETRIEVE,2348464,2448516,100052
ADD,2430458,3147287,716829
DELETE,3685030,4209528,524498
ADD,332146,717807,385661
ADD,1507148,1863700,356552
ADD,2786418,3264529,478111
RETRIEVE,497882,604068,106186
ADD,287837,680539,392702
DELETE,2453612,2860174,406562
ADD,1453612,1968800,515188
DELETE,2231730,2678286,446556
ADD,2989124,3448363,459239
RETRIEVE,1979265,2085129,105864
ADD,3852696,4374647,521951
RETRIEVE,2520362,2576100,55738
RETRIEVE,4403856,4533864,130008
RETRIEVE,1053446,1146650,93204
RETRIEVE,1979461,2114249,134788
ADD,173432,592121,418689
RETRIEVE,855776,914900,59124
ADD,210771,753168,542397
ADD,1931422,2439745,508323
RETRIEVE,3684746,3785466,100720
DELETE,3608580,4176464,567884
ADD,1502047,1849946,347899
RETRIEVE,1014863,1121663,106800
RETRIEVE,2247188,2421668,174480
DELETE,4325970,4661251,335281
RETRIEVE,880313,953251,72938
DELETE,2331155,2770707,439552
RETRIEVE,608580,693610,85030
RETRIEVE,218034,289294,71260
DELETE,2075535,2481013,405478
RETRIEVE,2618347,2713661,95314
RETRIEVE,1098653,1168487,69834
ADD,4497882,4886962,389080
RETRIEVE,3974725,4096619,121894
RETRIEVE,4742657,4819569,76912
ADD,3885032,4429440,544408
ADD,3203874,3648763,444889
DELETE,4144877,4762511,617634
RETRIEVE,4442717,4549577,106860
DELETE,4254258,4636695,382437
ADD,343658,905474,561816
RETRIEVE,4292584,4374362,81778
RETRIEVE,1164799,1187411,22612
ADD,1834660,2573631,738971
ADD,239967,485596,245629
ADD,917240,1352688,435448
DELETE,364293,777488,413195
DELETE,2111496,2541145,429649
RETRIEVE,1792880,1850330,57450
RETRIEVE,1657407,1738545,81138
DELETE,375291,777739,402448
DELETE,2155206,2526646,371440
DELETE,1260841,1542499,281658
ADD,2317878,2684584,366706
RETRIEVE,3418165,3504811,86646
RETRIEVE,1958715,2051983,93268
RETRIEVE,2394635,2483781,89146
DELETE,1306506,1816746,510240
RETRIEVE,4647270,4734430,87160
ADD,3238339,3711040,472701
DELETE,453519,886642,433123
RETRIEVE,2574515,2682731,108216
DELETE,1213881,1752118,538237
DELETE,4232638,4741489,508851
ADD,1571501,1915611,344110
ADD,628629,1108815,480186
RETRIEVE,3422546,3500052,77506
RETRIEVE,305930,361864,55934
ADD,2708621,3275171,566550
RETRIEVE,292584,332642,40058
ADD,809699,1290200,480501
DELETE,2790905,3431246,640341
DELETE,3859382,4360145,500763
DELETE,640637,1045049,404412
DELETE,1685108,1967266,282158
RETRIEVE,1593556,1666796,73240
ADD,1174069,1640248,466179
RETRIEVE,2632788,2710660,77872
RETRIEVE,2132085,2191971,59886
DELETE,3567514,3778772,211258
RETRIEVE,174069,270353,96284
ADD,3125953,3536063,410110
DELETE,3065825,3915524,849699
ADD,1983284,2482009,498725
ADD,2693962,3069247,375285
RETRIEVE,2438780,2519052,80272
RETRIEVE,3972704,4073074,100370
DELETE,1408733,1743931,335198
ADD,1741049,2196870,455821
RETRIEVE,1368883,1457869,88986
RETRIEVE,4372638,4498014,125376
ADD,3712803,4219958,507155
DELETE,4137485,4715411,577926
RETRIEVE,683598,803788,120190
ADD,2618305,3003382,385077
RETRIEVE,1613996,1693596,79600
RETRIEVE,2432720,2497076,64356
DELETE,243200,653236,410036
DELETE,98413,642682,544269
DELETE,1419838,1581985,162147
RETRIEVE,3457312,3546500,89188
ADD,4387998,4894366,506368
ADD,4094840,4436059,341219
ADD,360715,910468,549753
DELETE,2300968,2766646,465678
ADD,3853326,4397854,544528
DELETE,3520362,4055431,535069
RETRIEVE,4085490,4181690,96200
RETRIEVE,4135422,4233404,97982
DELETE,4088305,4537076,448771
DELETE,2095175,2653516,558341
ADD,1190823,1795524,604701
ADD,3066760,3439386,372626
RETRIEVE,1917240,2061950,144710
RETRIEVE,2668402,2722402,54000
ADD,3667312,3846885,179573
ADD,3217713,3980679,762966
ADD,3364293,3594821,230528
ADD,4041964,4424484,382520
RETRIEVE,2265417,2339905,74488
RETRIEVE,2478322,2526814,48492
RETRIEVE,3840508,3938070,97562
DELETE,3974865,4120326,145461
RETRIEVE,230873,264029,33156
DELETE,2497882,2960420,462538
ADD,1401771,1824935,423164
ADD,4294154,4783994,489840
ADD,693962,1126075,432113
DELETE,2494646,2806219,311573
ADD,3401771,4029040,627269
DELETE,750642,977631,226989
ADD,3498305,3860462,362157
DELETE,4353707,4770080,416373
RETRIEVE,171537,196033,24496
DELETE,2979265,3389060,409795
DELETE,1222510,1445570,223060
RETRIEVE,2349264,2456014,106750
ADD,3047992,3140303,92311
RETRIEVE,3596907,3698025,101118
RETRIEVE,2665991,2769657,103666
RETRIEVE,921629,985119,63490
RETRIEVE,2278083,2375279,97196
RETRIEVE,2426551,2515265,88714
DELETE,4075492,4509745,434253
RETRIEVE,3233426,3296252,62826
RETRIEVE,2479208,2512376,33168
DELETE,4239056,4615063,376007
RETRIEVE,316602,398376,81774
DELETE,3711280,4250453,539173
ADD,3463945,3884737,420792
RETRIEVE,1966310,2067378,101068
ADD,2511480,2645129,133649
DELETE,479208,849055,369847
RETRIEVE,1558562,1645974,87412
RETRIEVE,4710071,4789267,79196
RETRIEVE,4205168,4311820,106652
RETRIEVE,2090303,2202673,112370
RETRIEVE,1818101,1877193,59092
RETRIEVE,557627,671685,114058
RETRIEVE,696796,834086,137290
DELETE,1367359,2149919,782560
DELETE,4123538,4498258,374720
RETRIEVE,2193572,2266776,73204
ADD,786418,1032223,245805
ADD,3572970,3929967,356997
ADD,3190823,3709272,518449
DELETE,1656856,2112593,455737
ADD,2129491,2598440,468949
DELETE,4094945,4497634,402689
ADD,2624441,3106082,481641
DELETE,3593556,3815875,222319
RETRIEVE,1688909,1738019,49110
ADD,1684130,2101096,416966
DELETE,1521008,1914451,393443
RETRIEVE,2951257,3044045,92788
RETRIEVE,2121552,2217560,96008
ADD,1591064,1965209,374145
RETRIEVE,867776,992934,125158
RETRIEVE,2423714,2508480,84766
ADD,3140994,3243209,102215
RETRIEVE,927827,1054769,126942
ADD,2306506,2657601,351095
DELETE,3754973,4101362,346389
DELETE,238523,304708,66185
RETRIEVE,1520926,1547704,26778
RETRIEVE,1647330,1724482,77152
RETRIEVE,239056,311028,71972
RETRIEVE,892509,955871,63362
DELETE,1121175,1643163,521988
ADD,2841241,3080755,239514
RETRIEVE,4343810,4393872,50062
DELETE,2859382,3407699,548317
RETRIEVE,502047,594425,92378
RETRIEVE,2558310,2640588,82278
RETRIEVE,4478968,4568084,89116
RETRIEVE,3188298,3319426,131128
RETRIEVE,4509005,4565243,56238
ADD,2239967,2852997,613030
ADD,4086160,4809539,723379
DELETE,2696765,3185993,489228
DELETE,992832,1749211,756379
ADD,2668387,2946330,277943
RETRIEVE,3337065,3420709,83644
RETRIEVE,2632401,2741315,108914
RETRIEVE,3334256,3390236,55980
RETRIEVE,3950506,4034596,84090
RETRIEVE,1028023,1104115,76092
RETRIEVE,1267984,1296898,28914
DELETE,1799295,2306580,507285
DELETE,2789846,3239645,449799
RETRIEVE,645909,742389,96480
RETRIEVE,3290271,3410829,120558
DELETE,3210771,3675578,464807
RETRIEVE,2518828,2603766,84938
ADD,4089776,4512449,422673
DELETE,639916,1090484,450568
ADD,778770,1167600,388830
DELETE,3988997,4268524,279527
DELETE,1782698,2248478,465780
DELETE,2772246,3318998,546752
DELETE,4025947,4538559,512612
DELETE,2211193,2547854,336661
RETRIEVE,2754973,2807921,52948
RETRIEVE,789195,900845,111650
ADD,978846,1291976,313130
RETRIEVE,4677690,4766636,88946
ADD,2171355,2772915,601560
RETRIEVE,2855776,2960828,105052
DELETE,699473,1061713,362240
ADD,1427080,1988608,561528
RETRIEVE,3511480,3591418,79938
RETRIEVE,3231730,3260742,29012
RETRIEVE,1992864,2050688,57824
ADD,25947,495683,469736
RETRIEVE,28023,47573,19550
ADD,1479208,1987355,508147
DELETE,1117384,1582729,465345
