type,start,end,duration
DELETE,3224445,3875811,651366
ADD,3676621,4124280,447659
ADD,2174069,2621348,447279
RETRIEVE,2889091,2980415,91324
ADD,3292584,3674623,382039
RETRIEVE,2530951,2613315,82364
ADD,857388,1324141,466753
ADD,3209322,3529493,320171
DELETE,1622815,2073716,450901
DELETE,733298,1360493,627195
RETRIEVE,662827,722747,59920
DELETE,2642499,2851904,209405
RETRIEVE,531837,634499,102662
DELETE,612978,1001344,388366
DELETE,727411,1079785,352374
DELETE,3917240,4493267,576027
DELETE,2681454,3036755,355301
ADD,1987386,2479579,492193
DELETE,3146314,3629345,483031
ADD,3275578,3961602,686024
DELETE,1344067,1619722,275655
DELETE,2992864,3445164,452300
RETRIEVE,3722150,3805952,83802
RETRIEVE,4373920,4446042,72122
RETRIEVE,331155,417289,86134
RETRIEVE,3874783,3981663,106880
DELETE,2786418,3041821,255403
DELETE,3696765,4132232,435467
DELETE,1292197,1920142,627945
ADD,1507148,1939817,432669
RETRIEVE,3758764,3834878,76114
ADD,225100,620100,395000
RETRIEVE,2164799,2227605,62806
ADD,3101557,3568041,466484
RETRIEVE,1187552,1328998,141446
ADD,2140994,2414546,273552
DELETE,3102562,3520565,418003
RETRIEVE,1237473,1323691,86218
RETRIEVE,1988997,2045325,56328
RETRIEVE,2101469,2217513,116044
ADD,466783,950657,483874
RETRIEVE,4427080,4519136,92056
ADD,225113,687113,462000
RETRIEVE,927586,1055970,128384
RETRIEVE,2233426,2311276,77850
ADD,679816,1125585,445769
RETRIEVE,2612426,2723256,110830
RETRIEVE,3353827,3424501,70674
ADD,1408733,2002706,593973
ADD,3688909,3993367,304458
RETRIEVE,3320315,3405103,84788
RETRIEVE,1487338,1510688,23350
RETRIEVE,1706061,1813115,107054
RETRIEVE,3339671,3434779,95108
DELETE,290271,784947,494676
ADD,582433,1108608,526175
ADD,4040496,4647207,606711
RETRIEVE,660066,742146,82080
RETRIEVE,4652241,4724821,72580
DELETE,1942984,2332805,389821
RETRIEVE,4646944,4754542,107598
DELETE,3809699,4297890,488191
RETRIEVE,3766938,3827450,60512
DELETE,681454,1048781,367327
RETRIEVE,3077467,3153515,76048
RETRIEVE,1656726,1746804,90078
DELETE,4192811,4497084,304273
RETRIEVE,1574515,1679291,104776
RETRIEVE,900859,976345,75486
RETRIEVE,1294154,1446076,151922
ADD,2603866,2857508,253642
DELETE,3098413,3641533,543120
ADD,766938,1139647,372709
RETRIEVE,1536292,1654174,117882
ADD,3597461,4305961,708500
ADD,4342738,4657850,315112
RETRIEVE,1254258,1374188,119930
DELETE,3273584,4093137,819553
RETRIEVE,1216750,1322262,105512
RETRIEVE,1963467,2044951,81484
RETRIEVE,2778770,2903874,125104
RETRIEVE,2959787,3065637,105850
RETRIEVE,2090969,2183459,92490
RETRIEVE,2647330,2686266,38936
ADD,2352262,2794279,442017
ADD,2433245,2915562,482317
RETRIEVE,2277539,2383839,106300
DELETE,4231730,4659971,428241
RETRIEVE,4267984,4301062,33078
DELETE,1509371,1893531,384160
DELETE,2487338,2839842,352504
ADD,2688909,3020864,331955
ADD,3053446,3430630,377184
RETRIEVE,4089776,4172380,82604
RETRIEVE,498305,584577,86272
RETRIEVE,4205650,4277196,71546
RETRIEVE,290342,378120,87778
RETRIEVE,1454491,1508445,53954
ADD,1935942,2299202,363260
ADD,1992914,2455655,462741
DELETE,2232687,2874918,642231
RETRIEVE,2521008,2622292,101284
ADD,1054531,1445056,390525
RETRIEVE,569727,647427,77700
RETRIEVE,1508940,1643304,134364
ADD,2938195,3016202,78007
ADD,982500,1536645,554145
RETRIEVE,1742198,1813080,70882
RETRIEVE,5934,76778,70844
ADD,4080527,4568023,487496
RETRIEVE,612426,679884,67458
RETRIEVE,1101469,1189995,88526
ADD,1476459,1931159,454700
RETRIEVE,2017220,2144988,127768
DELETE,420583,966362,545779
RETRIEVE,343810,420364,76554
DELETE,1205650,1668558,462908
DELETE,1171355,1631790,460435
RETRIEVE,1836291,1949387,113096
DELETE,366014,786018,420004
DELETE,2398856,2946006,547150
DELETE,1187450,1575196,387746
ADD,2175517,2576390,400873
ADD,3239056,3597442,358386
ADD,1035638,1478859,443221
RETRIEVE,2419781,2449451,29670
DELETE,2581017,3055534,474517
RETRIEVE,3747813,3846375,98562
ADD,1217713,1745676,527963
RETRIEVE,4233072,4320088,87016
ADD,1573673,1891824,318151
DELETE,1770181,2307890,537709
ADD,255715,546610,290895
ADD,3423665,3659918,236253
ADD,220884,461779,240895
RETRIEVE,2059144,2162650,103506
ADD,812737,1012868,200131
ADD,2793600,3204711,411111
RETRIEVE,2546780,2676696,129916
RETRIEVE,1253780,1340096,86316
ADD,1983600,2617595,633995
ADD,1597461,2285162,687701
DELETE,1175517,1605490,429973
RETRIEVE,4463945,4578469,114524
RETRIEVE,3108906,3197976,89070
DELETE,3067585,3293314,225729
RETRIEVE,2653848,2737878,84030
ADD,3220705,3789367,568662
DELETE,1983783,2516573,532790
ADD,2696765,2917824,221059
DELETE,2441810,3178001,736191
DELETE,608099,1277429,669330
DELETE,4238523,4559898,321375
ADD,1665303,2113722,448419
DELETE,2850275,3281990,431715
RETRIEVE,1409949,1528557,118608
RETRIEVE,3998733,4100033,101300
DELETE,1373920,1651279,277359
RETRIEVE,1547293,1619103,71810
DELETE,4140994,4480518,339524
ADD,684746,1177199,492453
DELETE,2620235,3022924,402689
RETRIEVE,1618139,1723987,105848
RETRIEVE,2438780,2504144,65364
ADD,4102519,4583576,481057
RETRIEVE,4230873,4290921,60048
RETRIEVE,3463149,3592065,128916
DELETE,4366355,4762763,396408
RETRIEVE,4095066,4218980,123914
RETRIEVE,362585,470551,107966
RETRIEVE,3520926,3564778,43852
RETRIEVE,4137258,4168142,30884
RETRIEVE,1338607,1445655,107048
DELETE,2098653,2628738,530085
DELETE,2368767,2833889,465122
ADD,2669572,2943207,273635
DELETE,3667799,4225788,557989
DELETE,3218645,3798332,579687
DELETE,2245407,2789527,544120
RETRIEVE,4478322,4570494,92172
RETRIEVE,3366355,3459633,93278
DELETE,4044241,4520722,476481
RETRIEVE,3841965,3891623,49658
DELETE,231730,647806,416076
RETRIEVE,2502047,2613417,111370
RETRIEVE,3403856,3510736,106880
ADD,751831,978588,226757
RETRIEVE,3502047,3575689,73642
RETRIEVE,263333,343709,80376
ADD,622353,1282594,660241
DELETE,2980703,3465123,484420
RETRIEVE,1225100,1318480,93380
RETRIEVE,2353827,2431821,77994
DELETE,2667641,3178335,510694
RETRIEVE,4447104,4489310,42206
ADD,4418027,4892682,474655
ADD,3233781,3580124,346343
DELETE,318801,729124,410323
DELETE,16741,450179,433438
RETRIEVE,4656726,4728834,72108
DELETE,1559448,1943580,384132
DELETE,1650740,2148112,497372
DELETE,4208361,4688751,480390
RETRIEVE,2091070,2225914,134844
ADD,3261066,3991013,729947
RETRIEVE,1866274,1983804,117530
RETRIEVE,723752,810716,86964
ADD,698766,1000296,301530
ADD,2418027,2795609,377582
RETRIEVE,2028023,2083397,55374
ADD,352262,809593,457331
DELETE,4125255,4720895,595640
RETRIEVE,660240,818408,158168
ADD,2197135,2658811,461676
ADD,2544894,2991024,446130
RETRIEVE,3234315,3394577,160262
RETRIEVE,4765420,4841528,76108
RETRIEVE,2132699,2247439,114740
ADD,2628214,3288566,660352
RETRIEVE,3213881,3231467,17586
DELETE,3596907,4192890,595983
DELETE,1693962,2098013,404051
RETRIEVE,1685047,1775753,90706
ADD,1441810,1906645,464835
ADD,2836463,3236577,400114
ADD,3144980,3604646,459666
RETRIEVE,4382928,4472846,89918
RETRIEVE,2309998,2424974,114976
DELETE,3756722,4286770,530048
ADD,1188298,1630898,442600
DELETE,240322,576881,336559
DELETE,893021,1327700,434679
ADD,1122232,1816900,694668
ADD,2866274,3262839,396565
ADD,2558943,3136091,577148
DELETE,205168,693109,487941
DELETE,2771973,3138790,366817
RETRIEVE,3336860,3446266,109406
RETRIEVE,1269349,1342487,73138
RETRIEVE,561010,669586,108576
RETRIEVE,2792880,2866458,73578
RETRIEVE,267072,338322,71250
RETRIEVE,1628429,1722439,94010
ADD,1213881,1655212,441331
ADD,2655627,3282034,626407
DELETE,3292039,3664322,372283
RETRIEVE,3867824,3944566,76742
RETRIEVE,3765420,3859968,94548
RETRIEVE,1235124,1333756,98632
ADD,2267072,2642181,375109
RETRIEVE,640637,708725,68088
RETRIEVE,782698,880818,98120
ADD,1530606,1911070,380464
DELETE,1695260,1881253,185993
ADD,2756911,3193805,436894
RETRIEVE,2346194,2486974,140780
ADD,2859382,3341180,481798
RETRIEVE,3887836,4011122,123286
RETRIEVE,3459222,3528612,69390
ADD,3512870,3952617,439747
DELETE,4192565,4800128,607563
DELETE,3232638,3897965,665327
RETRIEVE,4234438,4315074,80636
DELETE,224296,794023,569727
DELETE,1993185,2328318,335133
DELETE,2770387,3325717,555330
DELETE,3203874,3631003,427129
RETRIEVE,4667799,4736445,68646
RETRIEVE,4771973,4848253,76280
RETRIEVE,4004403,4079969,75566
RETRIEVE,936712,1028708,91996
RETRIEVE,709086,828430,119344
DELETE,2874783,3301671,426888
ADD,1896783,2217046,320263
ADD,2497336,2951165,453829
RETRIEVE,3499537,3599461,99924
RETRIEVE,817254,903496,86242
RETRIEVE,3224296,3341326,117030
DELETE,4175133,4584159,409026
DELETE,589675,890316,300641
DELETE,604031,1157573,553542
ADD,1528691,1928832,400141
RETRIEVE,320315,414507,94192
DELETE,1889131,2297833,408702
DELETE,2766938,3184534,417596
RETRIEVE,1324152,1440792,116640
RETRIEVE,3827223,3922455,95232
RETRIEVE,4459222,4550716,91494
RETRIEVE,2345,120151,117806
RETRIEVE,3309998,3412562,102564
DELETE,3267072,3640522,373450
ADD,1307284,1730235,422951
RETRIEVE,75492,173084,97592
DELETE,2094840,2435337,340497
ADD,666804,1037957,371153
ADD,3193572,3783246,589674
RETRIEVE,2988997,3145103,156106
RETRIEVE,4278083,4353955,75872
ADD,1780596,2213172,432576
DELETE,3192272,3589032,396760
RETRIEVE,1502047,1599579,97532
RETRIEVE,4054531,4172209,117678
RETRIEVE,2752995,2847021,94026
ADD,1161877,1547631,385754
ADD,3115351,3808601,693250
RETRIEVE,4155379,4304201,148822
RETRIEVE,2713105,2825647,112542
RETRIEVE,232638,315312,82674
ADD,3510689,3961878,451189
DELETE,1493852,1939463,445611
ADD,4101972,4625850,523878
RETRIEVE,1606602,1722120,115518
ADD,2539203,2786749,247546
DELETE,463945,996161,532216
ADD,3290342,3729329,438987
